Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
secM	b0097	107705	108217	ECK0098	SecA translation regulator	secM // srrA // yacA // b0097 // ECK0098	EG11087					regulation of translation	periplasmic space // cytosol // cytoplasm	translation regulator activity	secMA-mutT
waaQ	b3632	3807064	3808098	ECK3622	lipopolysaccharide core heptosyltransferase 3	waaQ // rfaQ // b3632 // ECK3622	EG11341					lipopolysaccharide biosynthetic process // lipopolysaccharide core region biosynthetic process	cytosol	ADP-heptose-lipopolysaccharide heptosyltransferase activity // glycosyltransferase activity // lipopolysaccharide core heptosyltransferase activity	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU
mokB	b1420	1491962	1492129	ECK1413	putative regulatory protein MokB	mokB // b1420 // ECK1413	G6736								mokB
menF	b2265	2379348	2380643	ECK2259	isochorismate synthase MenF	menF // yfbA // b2265 // ECK2259	EG12362					menaquinone biosynthetic process	cytosol	metal ion binding // isomerase activity // magnesium ion binding // isochorismate synthase activity	menFD-yfbB-menBCE
hsrA	b3754	3939185	3940612	ECK3748	putative transporter HsrA	hsrA // yieO // b3754 // ECK3748	EG11732					transmembrane transport	membrane // plasma membrane	transmembrane transporter activity	yieP-hsrA
ymgC	b1167	1216748	1216996	ECK1154	protein YmgC	ymgC // b1167 // ECK1154	G6607					single-species biofilm formation	cytosol		ycgZ-ymgA-ariR-ymgC // ycgZ-ymgA-ariR-ymgC // ymgC
ulaB	b4194	4421393	4421698	ECK4190	L-ascorbate specific PTS enzyme IIB component	ulaB // yjfT // sgaB // b4194 // ECK4190	EG12494					phosphorylation // L-ascorbic acid transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // cytosol // cytoplasm	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // kinase activity // protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity	ulaABCDEF
patD	b1444	1515578	1517002	ECK1438	&gamma;-aminobutyraldehyde dehydrogenase	patD // prr // ydcW // b1444 // ECK1438	G6755					L-lysine catabolic process // protein homotetramerization // putrescine catabolic process	protein-containing complex // cytosol	aldehyde dehydrogenase [NAD(P)+] activity // oxidoreductase activity // NAD binding // aldehyde dehydrogenase (NAD+) activity // identical protein binding // aminobutyraldehyde dehydrogenase (NAD+) activity	ydcSTUV-patD // patD
napA	b2206	2300267	2302753	ECK2198	periplasmic nitrate reductase subunit NapA	napA // yojD // yojC // yojE // b2206 // ECK2198	EG12067					cellular respiration // Mo-molybdopterin cofactor biosynthetic process // anaerobic respiration // nitrate assimilation	oxidoreductase complex // nitrate reductase complex // outer membrane-bounded periplasmic space // periplasmic space	electron transfer activity // iron ion binding // molybdopterin cofactor binding // nitrate reductase (cytochrome) activity // metal ion binding // oxidoreductase activity // protein binding // 4 iron, 4 sulfur cluster binding // molybdenum ion binding // nitrate reductase activity	napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH
hicA	b4532	1509286	1509462	ECK1431	mRNA interferase toxin HicA	hicA // yncN // b4532 // ECK1431	G0-10451					regulation of DNA-templated transcription // regulation of growth // mRNA catabolic process	toxin-antitoxin complex	protein binding // endonuclease activity // mRNA binding // RNA binding // RNA endonuclease activity	hicAB // hicAB
lpxD	b0179	200971	201996	ECK0178	UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase	lpxD // omsA // firA // b0179 // ECK0178	EG10316					response to antibiotic // lipid A biosynthetic process	cytosol // cytoplasm	acyltransferase activity, transferring groups other than amino-acyl groups // acyltransferase activity // N-acyltransferase activity // protein binding // UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase activity // identical protein binding	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE // hlpA-lpxD-fabZ-lpxA // lpxD
ybjO	b0858	897989	898477	ECK0849	putative inner membrane protein	ybjO // b0858 // ECK0849	G6448						plasma membrane		ybjO-rlmC
fdoG	b3894	4082772	4085822	ECK3887	formate dehydrogenase O subunit &alpha;	fdoG // b3894 // ECK3887	EG11858					anaerobic electron transport chain // heme oxidation // DNA damage response // formate oxidation // cellular respiration // anaerobic respiration	plasma membrane // membrane // periplasmic space // outer membrane-bounded periplasmic space // cytosol // formate dehydrogenase complex	molybdenum ion binding // 4 iron, 4 sulfur cluster binding // formate dehydrogenase (cytochrome-c-553) activity // molybdopterin cofactor binding // formate dehydrogenase (NAD+) activity // protein binding // electron transfer activity // metal ion binding // oxidoreductase activity // formate dehydrogenase (quinone) activity	fdoGHI-fdhE
kch	b1250	1309016	1310269	ECK1244	K<sup>+</sup> channel Kch	kch // b1250 // ECK1244	EG11606					potassium ion transmembrane transport // monoatomic ion transmembrane transport // potassium ion transport	protein-containing complex // plasma membrane	potassium channel activity // identical protein binding	kch
ykgL	b0295	312112	312339	ECK0294	uncharacterized protein YkgL	ykgL // b0295 // ECK0294	G6166								ykgL
fryB	b2387	2507916	2508242	ECK2383	putative PTS enzyme IIB component FryB	fryB // ypdH // b2387 // ECK2383	G7250					phosphorylation // fructose transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	cytoplasm // cytosol	protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity // protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity // kinase activity	fryBC-ypdFE-fryA
glnK	b0450	472598	472936	ECK0444	uridylyl-[protein PII-2] // nitrogen regulatory protein PII-2	glnK // ybaI // b0450 // ECK0444	EG12191					regulation of nitrogen utilization // positive regulation of nitrogen utilization	cytosol // cytoplasm // plasma membrane	enzyme regulator activity // ATP binding // identical protein binding // protein binding	glnK-amtB
menC	b2261	2375000	2375962	ECK2255	o-succinylbenzoate synthase	menC // b2261 // ECK2255	EG11532					menaquinone biosynthetic process	cytosol	catalytic activity // O-succinylbenzoate synthase activity // lyase activity // magnesium ion binding // metal ion binding // hydro-lyase activity	menD-yfbB-menBCE // menBCE // menFD-yfbB-menBCE
yhaV	b3130	3277337	3277801	ECK3118	ribosome-dependent mRNA interferase toxin YhaV	yhaV // b3130 // ECK3118	G7629					regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // mRNA catabolic process // negative regulation of cell growth	toxin-antitoxin complex	endonuclease activity // RNA endonuclease activity // ribosomal large subunit binding // RNA nuclease activity // protein homodimerization activity // protein binding	sohA-yhaV
wbbH	b2035	2106060	2107226	ECK2029	putative O-antigen polymerase	wbbH // yefF // rfc // b2035 // ECK2029	EG11982					lipopolysaccharide biosynthetic process	plasma membrane		glf-rfc
ykiE	b4801	4518372	4518440	ECK4658	protein YkiE	ykiE // b4801 // ECK4658	G0-17047						membrane		
narJ	b1226	1285139	1285849	ECK1220	nitrate reductase 1 molybdenum cofactor assembly chaperone	narJ // b1226 // ECK1220	EG10641					nitrate assimilation // chaperone-mediated protein complex assembly	cytosol // cytoplasm	unfolded protein binding // metallochaperone activity // protein binding	narGHJI
yghQ	b2983	3131341	3132408	ECK2977	putative transport protein YghQ	yghQ // b2983 // ECK2977	G7549						membrane // plasma membrane		yghQ
ybaE	b0445	465612	467312	ECK0439	uncharacterized protein YbaE	ybaE // b0445 // ECK0439	EG13217					transmembrane transport // peptide transport	outer membrane-bounded periplasmic space	peptide transmembrane transporter activity	ybaE
sgcB	b4565	4530255	4530533	ECK4294	putative PTS enzyme IIB component SgcB	sgcB // b4565 // ECK4294	G0-10241					phosphorylation // sorbitol transmembrane transport // carbohydrate transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // cytoplasm // cytosol	kinase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	sgcXBCQAER
rutC	b1010	1071773	1072159	ECK1001	3-aminoacrylate deaminase	rutC // ycdK // b1010 // ECK1001	G6521					uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization	cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // hydrolase activity // identical protein binding // deaminase activity	rutABCDEFG
glpR	b3423	3559848	3560605	ECK3409	DNA-binding transcriptional repressor GlpR	glpR // b3423 // ECK3409	EG10400					regulation of DNA-templated transcription // glycerol metabolic process // negative regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding // protein binding // cis-regulatory region sequence-specific DNA binding	glpR // glpR // glpGR // glpEGR
ghoS	b4128	4352584	4352880	ECK4121	antitoxin of the GhoTS toxin-antitoxin system	ghoS // yjdK // b4128 // ECK4121	G7830							endonuclease activity // RNA endonuclease activity	ghoST
waaZ	b3624	3799345	3800196	ECK3614	lipopolysaccharide core biosynthesis protein WaaZ	waaZ // rfaZ // b3624 // ECK3614	EG11426					lipopolysaccharide biosynthetic process // lipopolysaccharide core region biosynthetic process	cytoplasm // cytosol // plasma membrane	transferase activity	rfaYZ // rfaZ-waaU // rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU
yqgG	b4784	3086145	3086288	ECK4641	protein YqgG	yqgG // b4784 // ECK4641	G0-17030								
hyfG	b2487	2608487	2610154	ECK2483	hydrogenase 4 catalytic subunit HyfG	hyfG // b2487 // ECK2483	G7304					proton transmembrane transport // anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process	membrane // formate dehydrogenase complex // cytosol // [Ni-Fe] hydrogenase complex	4 iron, 4 sulfur cluster binding // NAD binding // quinone binding // NADH dehydrogenase (ubiquinone) activity // nickel cation binding // metal ion binding // oxidoreductase activity // protein binding // metal cluster binding	hyfABCDEFGHIJR-focB
focB	b2492	2613934	2614782	ECK2488	formate channel FocB	focB // b2492 // ECK2488	G7309					transmembrane transport // mixed acid fermentation // formate transport	membrane // plasma membrane	formate transmembrane transporter activity // transmembrane transporter activity	hyfABCDEFGHIJR-focB
yadS	b0157	177001	177624	ECK0156	PF03458 family protein YadS	yadS // b0157 // ECK0156	EG12333						plasma membrane		mnt-btuF-yadS // mnt-btuF-yadS
agaB	b3138	3284170	3284646	ECK3126	cryptic galactosamine-specific PTS enzyme IIB component	agaB // yraD // b3138 // ECK3126	EG12769					phosphorylation // phosphoenolpyruvate-dependent sugar phosphotransferase system	cytoplasm // cytosol	kinase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	agaSYBCDI
glnE	b3053	3196801	3199641	ECK3043	fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase	glnE // b3053 // ECK3043	EG11602					regulation of glutamine family amino acid metabolic process	cytosol	[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity // magnesium ion binding // ATP binding // nucleotidyltransferase activity // [glutamate-ammonia-ligase] adenylyltransferase activity	ygiF-glnE
napB	b2203	2298269	2298718	ECK2195	periplasmic nitrate reductase cytochrome c<SUB>550</SUB> protein	napB // yejY // b2203 // ECK2195	EG12061					nitrate assimilation // anaerobic respiration	nitrate reductase complex // periplasmic space // outer membrane-bounded periplasmic space	protein binding // metal ion binding	napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH
relE	b1563	1645346	1645633	ECK1557	Qin prophage; mRNA interferase toxin RelE	relE // b1563 // ECK1557	EG11131			hokD // relE // relB	b1562 // b1563 // b1564	regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // negative regulation of DNA-templated transcription // response to antibiotic // cellular response to amino acid starvation // negative regulation of translation // mRNA catabolic process	toxin-antitoxin complex // protein-DNA complex // cytosol	toxin sequestering activity // DNA-binding transcription repressor activity // transcription cis-regulatory region binding // rRNA binding // endonuclease activity // ribosome binding // small ribosomal subunit rRNA binding // RNA endonuclease activity // protein binding	relBE-hokD // relBE
flhB	b1880	1965043	1966191	ECK1881	flagellar biosynthesis protein FlhB	flhB // yecQ // flaG // b1880 // ECK1881	G7028					protein secretion by the type III secretion system // chemotaxis // bacterial-type flagellum-dependent cell motility // bacterial-type flagellum organization // bacterial-type flagellum assembly // protein secretion // protein transport	bacterial-type flagellum secretion apparatus // bacterial-type flagellum // type III protein secretion system complex // membrane // plasma membrane		flhBAE
ytiB	b4767	391592	391648	ECK4624	protein YtiB	ytiB // b4767 // ECK4624	G0-17013						membrane		
torC	b0996	1058084	1059256	ECK0987	cytochrome <i>c</i> menaquinol dehydrogenase TorC	torC // b0996 // ECK0987	EG11815					regulation of pH // negative regulation of signal transduction // anaerobic electron transport chain // aerobic respiration // anaerobic respiration	trimethylamine-N-oxide reductase (cytochrome c) complex // Gram-negative-bacterium-type cell wall // outer membrane-bounded periplasmic space // membrane // plasma membrane	iron ion binding // metal ion binding // protein binding // heme binding // electron transfer activity	torCAD
yegT	b2098	2178821	2180098	ECK2091	putative transporter YegT	yegT // b2098 // ECK2091	G7130					uridine transmembrane transport // cytidine transport // nucleoside transport // nucleoside transmembrane transport	membrane // plasma membrane	uridine transmembrane transporter activity // cytidine transmembrane transporter activity // nucleoside transmembrane transporter activity	yegTUV
yggI	b2944	3089755	3090252	ECK2939	protein YggI	yggI // sprT // b2944 // ECK2939	EG12122					response to stress	cytoplasm // cytosol	zinc ion binding // metal ion binding	yggI
cmtA	b2933	3077471	3078859	ECK2928	mannitol-specific PTS enzyme IICB component CmtA	cmtA // b2933 // ECK2928	EG11792					phosphorylation // mannitol transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	membrane // plasma membrane	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity // kinase activity	cmtBA-yggPF-fumE-yggC
rutF	b1007	1069860	1070354	ECK0998	FMN reductase RutF	rutF // ycdH // b1007 // ECK0998	G6518					uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization	cytosol	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor // oxidoreductase activity // FMN binding // FMN reductase (NAD(P)H) activity // riboflavin reductase (NADPH) activity // FMN reductase (NADH) activity	rutABCDEFG
narQ	b2469	2585731	2587431	ECK2464	sensor histidine kinase NarQ	narQ // b2469 // ECK2464	EG11460					peptidyl-histidine phosphorylation // phosphorylation // phosphorelay signal transduction system // signal transduction // nitrate assimilation // cellular response to nitrate // cellular response to nitrite	membrane // plasma membrane	protein kinase activity // kinase activity // protein histidine kinase activity // protein dimerization activity // ATP binding // phosphorelay sensor kinase activity	narQ
orn	b4162	4391604	4392149	ECK4158	oligoribonuclease	orn // yjeR // b4162 // ECK4158	G7842					DNA metabolic process // RNA catabolic process	cytoplasm // cytosol	RNA exonuclease activity, producing 5'-phosphomonoesters // exonuclease activity // metal ion binding // nucleic acid binding // oligoribonucleotidase activity // 3'-5'-RNA exonuclease activity // single-stranded DNA 3'-5' DNA exonuclease activity	orn
flk	b2321	2437950	2438945	ECK2315	putative flagella assembly protein	flk // div // b2321 // ECK2315	EG10229					regulation of gene expression	membrane // plasma membrane		flk
ymiC	b4741	1335572	1335667	ECK4598	protein YmiC	ymiC // b4741 // ECK4598	G0-16736						plasma membrane		acnA // acnA
narG	b1224	1279864	1283607	ECK1218	nitrate reductase A subunit &alpha;	narG // chlC // narC // b1224 // ECK1218	EG10638					cellular respiration // anaerobic electron transport chain // nitrate assimilation // nitrate metabolic process // anaerobic respiration	oxidoreductase complex // nitrate reductase complex // membrane // plasma membrane // NarGHI complex	nitrate reductase (quinone) activity // metal ion binding // oxidoreductase activity // protein binding // molybdopterin cofactor binding // 4 iron, 4 sulfur cluster binding // nitrate reductase activity // electron transfer activity	narGHJI
ydjK	b1775	1858850	1860229	ECK1773	putative transporter YdjK	ydjK // b1775 // ECK1773	G6962					transmembrane transport	membrane // plasma membrane	transmembrane transporter activity	ydjLKJIHG
yihG	b3862	4045670	4046602	ECK3854	1-acylglycerol-3-phosphate <i>O</i>-acyltransferase YihG	yihG // b3862 // ECK3854	EG11833						plasma membrane	acyltransferase activity	yihG
ulaC	b4195	4421708	4422172	ECK4191	L-ascorbate specific PTS enzyme IIA component	ulaC // ptxA // yjfU // sgaA // b4195 // ECK4191	EG12495					phosphorylation // L-ascorbic acid transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // plasma membrane // cytoplasm	kinase activity // protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity	ulaABCDEF
nirC	b3367	3497003	3497809	ECK3355	nitrite transporter NirC	nirC // b3367 // ECK3355	EG10654					formate transport // transmembrane transport // nitrate assimilation // nitrite transport	membrane // plasma membrane	formate transmembrane transporter activity // nitrite transmembrane transporter activity // transmembrane transporter activity	nirBDC-cysG
glpA	b2241	2352647	2354275	ECK2233	anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA // b2241 // ECK2233	EG10391					phosphate-containing compound metabolic process // organophosphate metabolic process // glycerol catabolic process // polyol catabolic process // glycerol-3-phosphate metabolic process // glycerol-3-phosphate catabolic process // anaerobic respiration	plasma membrane // cytosol // glycerol-3-phosphate dehydrogenase (FAD) complex	FMN binding // oxidoreductase activity // protein binding // flavin adenine dinucleotide binding // glycerol-3-phosphate dehydrogenase (quinone) activity	glpABC
rppH	b2830	2968447	2968977	ECK2826	RNA pyrophosphohydrolase	rppH // ygdP // nudH // b2830 // ECK2826	G7459					NAD-cap decapping // tRNA processing // RNA destabilization // RNA decapping // mRNA catabolic process	cytoplasm // cytosol	pyrophosphatase activity // RNA NAD-cap (NMN-forming) hydrolase activity // hydrolase activity // magnesium ion binding // protein binding // hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides // mRNA 5'-diphosphatase activity	rppH-ptsP
fliE	b1937	2012700	2013014	ECK1935	flagellar protein FliE	fliE // fla // flaAI // flaN // b1937 // ECK1935	EG11346					chemotaxis // archaeal or bacterial-type flagellum-dependent cell motility // bacterial-type flagellum-dependent cell motility	bacterial-type flagellum basal body, rod // outer membrane-bounded periplasmic space // bacterial-type flagellum // bacterial-type flagellum basal body	structural molecule activity // cytoskeletal motor activity	fliE // fliE
rzoQ	b4689	1639080	1639334	ECK4503	Qin prophage; putative lipoprotein RzoQ	rzoQ // b4689 // ECK4503	G0-16675						plasma membrane		essQ-ydfR-rrrQ-rzpQ-rzoQ
hyfD	b2484	2604811	2606250	ECK2480	hydrogenase 4 component D	hyfD // b2484 // ECK2480	G7301					ATP synthesis coupled electron transport // anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // electron transport coupled proton transport	formate dehydrogenase complex // membrane // [Ni-Fe] hydrogenase complex // plasma membrane	NADH dehydrogenase (ubiquinone) activity // NADH dehydrogenase activity // oxidoreductase activity	hyfABCDEFGHIJR-focB
mdtI	b1599	1672820	1673149	ECK1594	multidrug/spermidine efflux pump membrane subunit MdtI	mdtI // ydgE // b1599 // ECK1594	G6857					choline transport // glycine betaine transport // spermidine transport // xenobiotic detoxification by transmembrane export across the plasma membrane // spermidine transmembrane transport	transmembrane transporter complex // plasma membrane	transmembrane transporter activity // antiporter activity // choline transmembrane transporter activity // amino-acid betaine transmembrane transporter activity // spermidine transmembrane transporter activity	mdtUJI
ybfC	b0704	735650	736219	ECK0692	uncharacterized protein YbfC	ybfC // b0704 // ECK0692	EG11523						cytosol		ybfOC
glvB	b3682	3861987	3862472	ECK3674	putative PTS enzyme II component GlvB	glvB // yidN // yidO // b3682 // ECK3674	EG11709					phosphorylation // phosphoenolpyruvate-dependent sugar phosphotransferase system	plasma membrane	kinase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	glvCBG-ysdC
ygfT	b2887	3029012	3030931	ECK2882	putative oxidoreductase YgfT	ygfT // b2887 // ECK2882	G7506					urate catabolic process	cytosol	4 iron, 4 sulfur cluster binding // metal ion binding // oxidoreductase activity	ygfTS
nrfG	b4076	4293543	4294139	ECK4069	putative formate-dependent nitrite reductase complex subunit NrfG	nrfG // yjcN // aidC // b4076 // ECK4069	EG11950						plasma membrane // outer membrane-bounded periplasmic space		nrfABCDEFG
lysY	b0747	781147	781222	ECK0736	tRNA-Lys(UUU)	lysY // lysTg // lysTgamma // b0747 // ECK0736	G6390						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	valZ-lysY
fliR	b1950	2022893	2023678	ECK1948	flagellar biosynthesis protein FliR	fliR // flaP // b1950 // ECK1948	EG11977					chemotaxis // protein secretion by the type III secretion system // bacterial-type flagellum-dependent cell motility // bacterial-type flagellum assembly // protein targeting	bacterial-type flagellum secretion apparatus // type III protein secretion system complex // bacterial-type flagellum // bacterial-type flagellum basal body // membrane // plasma membrane		fliLMNOPQR // fliLMNOPQR
ygdT	b4610	2969330	2969476	ECK4419	hypothetical protein YgdT	ygdT // b4610 // ECK4419	G0-10601						membrane		
hybF	b2991	3139977	3140318	ECK2985	hydrogenase maturation protein HybF	hybF // b2991 // ECK2985	EG11804					protein modification process // protein maturation	cytosol	metallochaperone activity // metal ion binding // zinc ion binding // nickel cation binding	hybOABCDEFG
puuP	b1296	1357802	1359187	ECK1291	putrescine:H+ symporter PuuP	puuP // ycjJ // b1296 // ECK1291	G6643					transmembrane transport // proton transmembrane transport // DNA damage response // amino acid transport // putrescine transport // putrescine catabolic process	membrane // plasma membrane	symporter activity // solute:proton symporter activity // putrescine transmembrane transporter activity	puuAP // puuP
yffB	b2471	2591247	2591603	ECK2466	putative reductase YffB	yffB // b2471 // ECK2466	EG11147						cytosol		yffB-dapE-ypfN
agaD	b3140	3285478	3286269	ECK3128	cryptic galactosamine-specific PTS enzyme IID component	agaD // yraF // b3140 // ECK3128	G7635					phosphoenolpyruvate-dependent sugar phosphotransferase system	membrane // plasma membrane		agaSYBCDI
ydfG	b1539	1627517	1628263	ECK1532	3-hydroxy acid dehydrogenase YdfG	ydfG // b1539 // ECK1532	EG12345					protein homotetramerization // uracil catabolic process	protein-containing complex // cytosol	oxidoreductase activity // 3-hydroxyisobutyrate dehydrogenase activity // identical protein binding // 3-hydroxypropionate dehydrogenase (NADP+) activity // serine 3-dehydrogenase activity	ydfG
fdnI	b1476	1551338	1551991	ECK1470	formate dehydrogenase N subunit &gamma;	fdnI // b1476 // ECK1470	EG11229					anaerobic electron transport chain // heme oxidation // respiratory electron transport chain // cellular respiration // formate oxidation // anaerobic respiration	membrane // plasma membrane // formate dehydrogenase complex	formate dehydrogenase (NAD+) activity // metal ion binding // protein binding // heme binding // formate dehydrogenase (quinone) activity // electron transfer activity	fdnGHI
thrT	b3979	4175754	4175829	ECK3970	tRNA-Thr(GGU)	thrT // b3979 // ECK3970	EG30101						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	thrU-tyrU-glyT-thrT-tufB
rydB	b4430	1764713	1764780	ECK1681	small regulatory RNA RydB	rydB // tpe7 // IS082 // b4430 // ECK1681	G0-8876								rydB
yjjV	b4378	4613481	4614260	ECK4370	putative metal-dependent hydrolase YjjV	yjjV // b4378 // ECK4370	G7952						cytosol	protein binding // hydrolase activity, acting on ester bonds // metal ion binding // hydrolase activity	yjjUV
hypD	b2729	2852136	2853257	ECK2724	Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD	hypD // hydF // b2729 // ECK2724	EG10486					protein-containing complex assembly // protein maturation	cytosol	metal ion binding // ATP hydrolysis activity // carbon monoxide binding // iron ion binding // protein binding // 4 iron, 4 sulfur cluster binding	hypBCDE-fhlA // hypABCDE-fhlA // hypBCDE // hypABCDE
kdpC	b0696	724407	724979	ECK0684	K<sup>+</sup> transporting P-type ATPase subunit KdpC	kdpC // kac // b0696 // ECK0684	EG10515					potassium ion transport // monoatomic cation transmembrane transport // potassium ion transmembrane transport	potassium:proton antiporter complex // membrane // potassium ion-transporting ATPase complex // plasma membrane	ATP binding // protein binding // P-type potassium transmembrane transporter activity	kdpFABC
yrhB	b3446	3584759	3585043	ECK3430	putative heat shock chaperone	yrhB // b3446 // ECK3430	G7763						cytosol		yrhB
rutB	b1011	1072171	1072863	ECK1002	ureidoacrylate amidohydrolase	rutB // ycdL // b1011 // ECK1002	G6522					uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization	cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // hydrolase activity // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	rutABCDEFG
torZ	b1872	1954578	1957007	ECK1873	trimethylamine <i>N</i>-oxide reductase 2	torZ // bisZ // b1872 // ECK1873	G7022					anaerobic electron transport chain // anaerobic respiration	periplasmic space // outer membrane-bounded periplasmic space	molybdenum ion binding // metal ion binding // oxidoreductase activity // molybdopterin cofactor binding // electron transfer activity // trimethylamine-N-oxide reductase (cytochrome c) activity	torYZ
metT	b0673	697057	697133	ECK0661	tRNA-Met(CAU)	metT // metTalpha // b0673 // ECK0661	EG30058						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	metT-leuW-glnUW-metU-glnVX
arcZ	b4450	3350577	3350697	ECK3199	small regulatory RNA ArcZ	arcZ // psrA16 // sraH // ryhA // b4450 // ECK3199	G0-8871					RNA catabolic process // negative regulation of single-species biofilm formation // negative regulation of cell motility // cellular response to acidic pH // positive regulation of translational initiation		regulatory RNA binding // transcription antitermination factor activity, RNA binding // mRNA 5'-UTR binding // protein binding	arcZ
tdcF	b3113	3259721	3260110	ECK3102	putative enamine/imine deaminase	tdcF // yhaR // b3113 // ECK3102	G7626					L-threonine catabolic process to propionate // threonine metabolic process	cytosol	deaminase activity // hydrolase activity // identical protein binding	tdcBCDEFG // tdcABCDEFG
nrfD	b4073	4290476	4291432	ECK4066	putative menaquinol-cytochrome <i>c</i> reductase subunit NrfD	nrfD // yjcK // b4073 // ECK4066	EG11947					anaerobic electron transport chain	plasma membrane		nrfABCDEFG
fecC	b4289	4512411	4513409	ECK4279	ferric citrate ABC transporter membrane subunit FecC	fecC // b4289 // ECK4279	EG10288					transmembrane transport // iron ion transport // intracellular iron ion homeostasis // iron import into cell // siderophore-dependent iron import into cell	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	transmembrane transporter activity // protein binding // iron chelate transmembrane transporter activity	fecABCDE
ygfF	b2902	3045158	3045901	ECK2897	putative oxidoreductase YgfF	ygfF // yqfD // b2902 // ECK2897	G7514						cytosol	oxidoreductase activity, acting on CH-OH group of donors // protein binding // oxidoreductase activity	ygfF
narU	b1469	1542672	1544060	ECK1463	nitrate/nitrite transporter NarU	narU // yddF // b1469 // ECK1463	EG12153					nitrate assimilation // nitrate transmembrane transport // nitrite transport	membrane // plasma membrane	nitrite transmembrane transporter activity // nitrate transmembrane transporter activity // nitrite efflux transmembrane transporter activity	narUZYWV // narU // narU
hybB	b2995	3142986	3144164	ECK2989	hydrogenase 2 membrane subunit	hybB // b2995 // ECK2989	EG11800					anaerobic electron transport chain // anaerobic respiration	[Ni-Fe] hydrogenase complex // plasma membrane	metal ion binding // hydrogenase (acceptor) activity	hybOABCDEFG
hisR	b3797	3982509	3982585	ECK3790	tRNA-His(GUG)	hisR // hisT // b3797 // ECK3790	EG30042						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	argX-hisR-leuT-proM
sroH	b4691	4190327	4190487	ECK4505	small RNA SroH	sroH // b4691 // ECK4505	G0-9388							mRNA binding	sroH
ygcW	b2774	2899488	2900273	ECK2768	putative deoxygluconate dehydrogenase	ygcW // b2774 // ECK2768	G7440					DNA damage response	cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity	ygcW
hyfA	b2481	2601201	2601818	ECK2477	hydrogenase 4 component A	hyfA // yffE // b2481 // ECK2477	EG11150						cytosol // [Ni-Fe] hydrogenase complex	metal ion binding // oxidoreductase activity // 4 iron, 4 sulfur cluster binding	hyfABCDEFGHIJR-focB
